"","Date","N1","LoessN1","DetrendedN1"
"153",208,57078,126440.368669711,-69362.3686697108
"154",210,47752,126631.682082488,-78879.6820824877
"155",211,126933,126611.168172976,321.831827024289
"156",212,571269,126590.654263464,444678.345736536
"157",216,100841,125968.102479036,-25127.1024790365
"158",215,86885,126168.781770675,-39283.7817706749
"159",213,74538,126570.140353952,-52032.1403539518
"160",217,84762,125767.423187398,-41005.423187398
"161",218,71220,125428.811843715,-54208.8118437151
"162",219,19767,125090.200500032,-105323.200500032
"163",220,165555,124751.589156349,40803.4108436508
"164",222,282977,124039.547749711,158937.452250289
"165",223,675748,123683.527046392,552064.472953608
"166",224,371943,123327.506343072,248615.493656928
"167",225,94275,123102.033681239,-28827.0336812388
"168",226,175204,122876.561019405,52327.4389805948
"169",230,196394,122524.786633132,73869.2133668681
"170",227,328607,122651.088357572,205955.911642428
"171",231,147561,122482.686058319,25078.3139416814
"172",229,876165,122566.887207945,753598.112792055
"173",232,159827,122531.769140095,37295.230859905
"174",233,79162,122580.852221871,-43418.8522218714
"175",237,84593,122496.788938568,-37903.7889385681
"176",234,111268,122629.935303648,-11361.9353036478
"177",238,96044,122452.406816875,-26408.4068168748
"178",236,134685,122541.171060261,12143.8289397387
"179",240,126696,121836.034805714,4859.96519428608
"180",239,112305,122144.220811294,-9839.22081129439
"181",245,109712,118666.167328165,-8954.16732816507
"182",244,32575,119381.587696157,-86806.5876961572
"183",241,324203,121527.848800133,202675.151199867
"184",243,48434,120097.008064149,-71663.0080641493
"185",246,110162,117682.46787525,-7520.46787525012
"186",247,224021,116698.768422335,107322.231577665
"187",248,29085,115715.06896942,-86630.0689694202
"188",250,37957,112561.145676733,-74604.1456767335
"189",251,72954,110984.18403039,-38030.1840303901
"190",252,29749,109407.222384047,-79658.2223840467
"191",254,72656,105823.347670909,-33167.3476709093
"192",253,69321,107615.285027478,-38294.285027478
"193",255,227547,104031.410314341,123515.589685659
"194",257,65951,100415.602148911,-34464.6021489112
"195",258,147362,98607.6980661965,48754.3019338035
"196",259,206761,96799.7939834818,109961.206016518
"197",260,75581,95035.413101878,-19454.413101878
"198",261,90160,93271.0322202742,-3111.03222027415
"199",266,1459947,85177.9610489843,1374769.03895102
"200",265,146407,86760.1336214058,59646.8663785942
"201",264,658991,88342.3061938273,570648.693806173
"202",262,117448,91506.6513386703,25941.3486613297
"203",267,248692,83823.6605300607,164868.339469939
"204",268,102900,82469.3600111371,20430.6399888629
"205",269,9837,81115.0594922135,-71278.0594922135
"206",271,27032,78775.0789617793,-51743.0789617793
"207",272,74682,77605.0886965621,-2923.08869656213
"208",273,44362,76435.098431345,-32073.098431345
"209",274,30724,75439.8159719317,-44715.8159719317
"210",275,17027,74444.5335125183,-57417.5335125183
"211",276,63850,73449.251053105,-9599.25105310501
"212",278,49443,71823.4725202075,-22380.4725202075
"213",279,90447,71010.5832537588,19436.4167462412
"214",280,44587,70197.6939873101,-25610.6939873101
"215",281,14469,69588.9784846417,-55119.9784846417
"216",282,28023,68980.2629819733,-40957.2629819733
"217",283,27787,68371.5474793048,-40584.5474793048
"218",285,34889,67539.2725283309,-32650.2725283309
"219",286,13829,67123.1350528439,-53294.1350528439
"220",287,91919,66706.9975773569,25212.0024226431
"221",288,51425,66471.6342281525,-15046.6342281525
"222",289,9583,66236.2708789482,-56653.2708789482
"223",290,158303,66000.9075297438,92302.0924702562
"224",292,166468,66004.0729911961,100463.927008804
"225",293,34667,66005.6557219223,-31338.6557219223
"226",294,18649,66007.2384526484,-47358.2384526484
"227",295,26017,66312.2501982037,-40295.2501982037
"228",296,23118,66617.261943759,-43499.261943759
"229",300,76702,69079.7250378928,7622.27496210721
"230",301,65693,69798.875487419,-4105.87548741896
"231",299,35326,68360.5745883666,-33034.5745883666
"232",297,16863,66922.2736893143,-50059.2736893143
"233",302,16843,70975.5840423026,-54132.5840423026
"234",304,98314,73329.0011520698,24984.9988479302
"235",306,77813,76487.6423026281,1325.35769737192
"236",307,10519,78066.9628779073,-67547.9628779073
"237",308,11041,79646.2834531864,-68605.2834531864
"238",309,37088,81543.8364714474,-44455.8364714474
"239",310,77378,83441.3894897084,-6063.38948970835
"240",314,186460,91781.1167067686,94678.8832932314
"241",313,54682,89633.7253071688,-34951.7253071688
