"","Date","FlowRate","BCoV","N1","N2","N1Error","N2Error","PMMoV","LoessN1","LoessN2","DeTrendedN1","DeTrendedN2"
"65",2020-12-21,36.37,3.2,90457,124978,5938,7220,38254835,151490.231878848,208844.90992054,-61033.2318788482,-83866.9099205405
"66",2020-12-22,38.29,3.49,71231,119279,3180,15032,73116466,142344.400953785,198873.343401383,-71113.400953785,-79594.3434013827
"67",2020-12-23,37.44,6.78,155740,180868,7431,7836,42079955,138026.492560421,193081.96543169,17713.5074395786,-12213.9654316901
"68",2020-12-24,38.33,1.146098,128763,160594,9855,32572,32504601,133708.584167058,187290.587461997,-4945.58416705782,-26696.5874619974
"69",2020-12-25,37.13,2.186342,260494,322325,8698,9321,22664782,129390.675773694,181499.209492305,131103.324226306,140825.790507695
"70",2020-12-29,36.78,0.8812938,157093,227668,17675,6093,29107742,120976.060239876,173126.410154498,36116.9397601236,54541.5898455023
"71",2020-12-28,35.51,1.129012,146336,253152,14236,37483,59869304,123079.714123331,175219.609988949,23256.2858766691,77932.3900110505
"72",2020-12-30,36.54,0.28,31701,61791,7264,15500,10639845,121276.813109679,175355.01333652,-89575.813109679,-113564.01333652
"73",2020-12-31,36.25,2.13,202426,205016,10988,12709,37254560,121577.565979482,177583.616518542,80848.4340205185,27432.3834814577
"74",2021-01-01,36.85,0.044,16392,37823,1251,1591,8291579,121878.318849284,179812.219700565,-105486.318849284,-141989.219700565
"75",2021-01-04,36.75,0.133,67330,97336,7666,7813,13750016,131334.851274676,187666.164465402,-64004.8512746761,-90330.1644654025
"76",2021-01-05,37.12,0.539,77349,118494,2151,15436,12327751,134487.028749807,190284.146053682,-57138.0287498067,-71790.1460536818
"77",2021-01-06,36.27,3.19,75843,173286,5828,18007,34637816,141498.585901037,194769.421796879,-65655.5859010372,-21483.4217968792
"78",2021-01-07,35.99,3.12,151435,257305,26421,17993,33603761,148510.143052268,199254.697540077,2924.85694773233,58050.3024599234
"79",2021-01-08,35.42,3.05,207160,278534,22132,16030,33083316,155521.700203498,203739.973283274,51638.2997965019,74794.026716726
"80",2021-01-11,36.31,1.56,206772,250427,5001,19678,40077911,183810.893634193,222400.562441024,22961.1063658067,28026.4375589758
"81",2021-01-12,37.53,1.76,347374,415144,14361,12014,54979403,193240.624777758,228620.758826941,154133.375222242,186523.241173059
"82",2021-01-13,36.41,3.41,164089,168176,18228,29449,28815029,201932.253039175,233614.981851312,-37843.2530391747,-65438.9818513117
"83",2021-01-14,36.3,6.28,135208,231681,14987,15376,54139514,210623.881300591,238609.204875682,-75415.8813005911,-6928.20487568242
"84",2021-01-15,36.28,11.64,341217,290289,17382,33526,34680312,219315.509562007,243603.427900053,121901.490437993,46685.5720999468
"85",2021-01-18,36.66,7.530346,195324,199716,33077,19634,24412773,227251.885742266,247656.754274176,-31927.8857422664,-47940.7542741762
"86",2021-01-19,37.56,6.127267,325153,207728,46893,4515,30537673,229897.344469019,249007.863065551,95255.6555309806,-41279.8630655505
"87",2021-01-20,37.51,20.73,269079,417753,28150,26966,14417885,229109.628970651,247856.807328153,39969.3710293488,169896.192671847
"88",2021-01-21,37.39,27.31,156173,247074,36552,17621,25553068,228321.913472283,246705.751590756,-72148.913472283,368.248409243766
"89",2021-01-22,38.24,6.94,302627,281048,22090,1051,17163431,227534.197973915,245554.695853359,75092.8020260851,35493.304146641
